time_s,EMG1_mV,EMG2_mV,AX_g,AY_g,AZ_g,GX_dps,GY_dps,GZ_dps
161.895,-0.006785,-0.007234,0.213,0.851,0.291,130.12,2.62,-109.88
161.9,34.147533,0.01455,0.053,0.974,0.294,191.95,-54.94,-70.24
161.905,-0.009932,26.790457,0.053,0.974,0.294,191.95,-54.94,-70.24
161.91,-0.013202,-0.005313,0.179,1.053,0.127,202.38,-92.44,-75.18
161.915,0.320189,-0.005886,0.179,1.053,0.127,202.38,-92.44,-75.18
161.92,3.889357,0.876617,-0.099,0.21,0.812,50.12,-102.2,-41.71
161.925,0.002616,0.885609,-0.099,0.21,0.812,50.12,-102.2,-41.71
161.93,0.000572,-0.016022,-0.043,0.34,1.131,-167.07,75.12,128.78
161.935,15.734073,-0.018638,-0.043,0.34,1.131,-167.07,75.12,128.78
161.94,55.151859,0.674221,0.119,0.991,0.315,-346.52,180.67,230.91
161.945,-0.000899,-0.003965,0.119,0.991,0.315,-346.52,180.67,230.91
161.95,-0.002044,-0.007888,0.21,1.21,-0.062,-302.87,137.5,226.1
161.955,57.264194,-0.009605,0.21,1.21,-0.062,-302.87,137.5,226.1
161.96,57.987377,20.088633,-0.06,1.291,-0.316,-106.83,49.63,145.06
161.965,-0.006866,-0.020436,0.103,1.065,-0.337,83.11,-0.49,4.45
161.97,0.002044,-0.018515,0.103,1.065,-0.337,83.11,-0.49,4.45
161.975,45.532364,-0.019414,0.125,0.881,0.522,-205.37,-60.24,-9.82
161.98,31.92877,45.146046,0.125,0.881,0.522,-205.37,-60.24,-9.82
161.985,-0.016594,-0.016471,0.128,0.824,0.98,-151.1,-36.34,13.54
161.99,-0.015245,-0.016022,0.128,0.824,0.98,-151.1,-36.34,13.54
161.995,62.123272,-0.019741,0.171,0.909,0.483,83.84,21.1,14.51
162.0,-0.007112,64.902466,0.171,0.909,0.483,83.84,21.1,14.51
162.005,-0.009932,-0.020313,0.061,0.934,0.298,108.35,16.65,-24.51
162.01,21.355085,-0.016471,0.061,0.934,0.298,108.35,16.65,-24.51
162.015,38.519917,-0.015695,0.043,0.942,0.174,27.74,7.5,-7.8
162.02,-0.006785,49.23077,0.043,0.942,0.174,27.74,7.5,-7.8
162.025,-0.012875,-0.01737,0.107,0.93,0.378,-71.83,-15.85,8.66
162.03,13.109126,-0.016349,0.107,0.93,0.378,-71.83,-15.85,8.66
162.035,29.14843,-0.013529,0.136,0.891,0.655,-63.11,-17.38,3.29
162.04,-0.009932,25.135397,0.136,0.891,0.655,-63.11,-17.38,3.29
162.045,-0.012425,-0.004741,0.109,0.904,0.509,39.09,10.55,-2.07
162.05,0.21425,-0.005518,0.109,0.904,0.509,39.09,10.55,-2.07
162.055,7.152639,-0.008583,0.1,0.959,0.256,52.87,14.88,-0.49
162.06,-0.009605,47.900555,0.1,0.959,0.256,52.87,14.88,-0.49
162.065,-0.012997,-0.007888,0.097,0.937,0.36,-16.77,-5.98,-2.8
162.07,-0.013202,-0.003147,0.097,0.937,0.36,-16.77,-5.98,-2.8
162.075,10.605077,-0.00846,0.105,0.907,0.481,-34.45,-8.84,0.85
162.08,0.044387,51.784435,0.105,0.907,0.481,-34.45,-8.84,0.85
162.085,0.002861,-0.005313,0.109,0.906,0.473,-4.57,-1.34,1.28
162.09,0.000245,-0.004619,0.109,0.906,0.473,-4.57,-1.34,1.28
162.095,40.588436,-0.007888,0.1,0.92,0.425,19.09,3.29,-0.12
162.1,11.949677,28.232574,0.1,0.92,0.425,19.09,3.29,-0.12
162.105,0.001553,-0.019864,0.107,0.939,0.353,14.21,3.72,0.61
162.11,0.000327,-0.015695,0.107,0.939,0.353,14.21,3.72,0.61
162.115,33.516232,-0.015572,0.103,0.926,0.4,-16.1,-3.66,-1.04
162.12,61.415375,5.148125,0.103,0.926,0.4,-16.1,-3.66,-1.04
162.125,0.002943,0.05297,0.106,0.908,0.48,-16.34,-4.39,-0.67
162.13,0.000572,-0.005967,0.106,0.908,0.48,-16.34,-4.39,-0.67
162.135,8.835248,-0.005191,0.105,0.919,0.439,9.63,2.13,-0.06
162.14,21.640369,10.904013,0.105,0.919,0.439,9.63,2.13,-0.06
162.145,-0.01218,2.073424,0.105,0.919,0.439,9.63,2.13,-0.06
162.15,-0.010831,-0.017943,0.103,0.93,0.38,13.11,2.68,0.12
162.155,-0.011975,-0.014673,0.103,0.93,0.38,13.11,2.68,0.12
162.16,7.360431,-0.013978,0.105,0.928,0.402,-5.12,-1.28,-0.49
162.165,1.199831,17.321125,0.105,0.928,0.402,-5.12,-1.28,-0.49
162.17,-0.012752,-0.008787,0.102,0.915,0.444,-10.85,-2.62,-0.91
162.175,-0.004496,-0.006866,0.102,0.915,0.444,-10.85,-2.62,-0.91
162.18,16.834505,0.013978,0.104,0.917,0.444,-0.06,-0.67,0.37
162.185,-0.008133,21.911921,0.104,0.917,0.444,-0.06,-0.67,0.37
162.19,-0.009932,-0.016267,0.108,0.925,0.414,7.13,1.1,0.37
162.195,10.745675,-0.016144,0.108,0.925,0.414,7.13,1.1,0.37
162.2,43.409241,-0.016594,0.103,0.927,0.401,1.77,0.67,-0.79
162.205,-0.008583,47.824291,0.103,0.927,0.401,1.77,0.67,-0.79
162.21,-0.009605,-0.001349,0.101,0.919,0.422,-5.79,-1.34,-0.79
162.215,-0.012548,-0.009482,0.101,0.919,0.422,-5.79,-1.34,-0.79
162.22,22.282629,-0.008011,0.107,0.917,0.434,-3.11,-1.34,0.3
162.225,0.001226,45.758797,0.107,0.917,0.434,-3.11,-1.34,0.3
162.23,0.001226,-0.02109,0.108,0.923,0.42,2.68,0.12,0.18
162.235,-0.001798,-0.018638,0.108,0.923,0.42,2.68,0.12,0.18
162.24,11.511613,-0.014918,0.198,0.947,0.507,3.11,-0.49,-2.87
162.245,0.491197,36.471176,0.198,0.947,0.507,3.11,-0.49,-2.87
162.25,-0.010259,-0.014796,0.191,0.833,0.882,101.28,3.6,-42.2
162.255,-0.013202,-0.020885,0.191,0.833,0.882,101.28,3.6,-42.2
162.26,57.180569,-0.016717,-0.061,0.856,0.219,256.4,40.43,-27.87
162.265,19.484221,10.741507,-0.061,0.856,0.219,256.4,40.43,-27.87
162.27,-0.013774,-0.012997,0.076,0.891,0.19,89.27,25.61,-1.77
162.275,-0.010259,-0.015817,0.076,0.891,0.19,89.27,25.61,-1.77
162.28,60.971588,-0.015245,-0.015,0.996,0.3,-55.98,5.24,5.91
162.285,35.691341,17.344912,-0.015,0.996,0.3,-55.98,5.24,5.91
162.29,-0.000245,-0.019169,0.025,1.018,-0.018,66.22,9.45,10.12
162.295,-0.001144,-0.016144,0.025,1.018,-0.018,66.22,9.45,10.12
