sample,ch1_filtered_mV,ch1_rectified_mV,ch1_rms_mV,ch1_raw_mV
10509,-0.0024479991403352558,0.0024479991403352558,0.008134633941309205,17.664
10510,0.0013681057037016786,0.0013681057037016786,0.00813555634041044,17.668
10511,-0.0005126751496441532,0.0005126751496441532,0.008132428770085106,17.666
10512,-0.0003345911279040157,0.0003345911279040157,0.008127384556461524,17.666
10513,-0.003661077791357786,0.003661077791357786,0.008119542579564442,17.662
10514,-0.0012455285228925345,0.0012455285228925345,0.00808171613409397,17.664
10515,0.0017745313626413226,0.0017745313626413226,0.008004756647823692,17.667
10516,0.009720695860915968,0.009720695860915968,0.007967082421991487,17.676
10517,0.024626031649208832,0.024626031649208832,0.00822921959237468,17.694
10518,0.0208864879866935,0.0208864879866935,0.00840773728883311,17.693
10519,0.00960557365481949,0.00960557365481949,0.00834723749348881,17.683
10520,-0.0029840025927667935,0.0029840025927667935,0.008233062501478879,17.67
10521,-0.0034557043720675317,0.0034557043720675317,0.008157570928716662,17.669
10522,-0.003002169726152147,0.003002169726152147,0.007991312121164941,17.669
10523,2.539771073243463e-05,2.539771073243463e-05,0.007795299566145103,17.672
10524,0.0026586484700091575,0.0026586484700091575,0.00765571835085821,17.675
10525,0.003177378656274178,0.003177378656274178,0.007585158482806083,17.676
10526,0.005378644654898481,0.005378644654898481,0.007513765250714314,17.679
10527,0.004648342808122818,0.004648342808122818,0.007409585260870261,17.679
10528,0.004889160775476342,0.004889160775476342,0.007279040692405099,17.68
10529,0.0033446588307581744,0.0033446588307581744,0.007166466483710196,17.679
10530,0.002894345310171266,0.002894345310171266,0.007059453743215531,17.679
10531,0.0060655549200468156,0.0060655549200468156,0.006964656490669689,17.683
10532,0.00712028256092124,0.00712028256092124,0.006890690895284671,17.685
10533,0.009852485020603954,0.009852485020603954,0.00688907081288309,17.689
10534,0.010523817672778216,0.010523817672778216,0.006931338179467007,17.691
10535,0.0102666895882885,0.0102666895882885,0.0070007962973984315,17.692
10536,0.006539200754839514,0.006539200754839514,0.006906481255879639,17.689
10537,0.009478411182861784,0.009478411182861784,0.006788534992489849,17.693
10538,0.011194251681103147,0.011194251681103147,0.006702173880013369,17.696
10539,0.010938052441748803,0.010938052441748803,0.00667169122437104,17.697
10540,0.008937972590722421,0.008937972590722421,0.006607660254671946,17.696
10541,0.008931456478614918,0.008931456478614918,0.0065553045181615975,17.697
10542,0.00890016280989545,0.00890016280989545,0.006526184119183476,17.698
10543,0.007955767829547586,0.007955767829547586,0.0064569519404154615,17.698
10544,0.00620480978330017,0.00620480978330017,0.006389862940215248,17.697
10545,0.00904706455438053,0.00904706455438053,0.006342238473908884,17.701
10546,0.006204563259074618,0.006204563259074618,0.006306898034278042,17.699
10547,0.005442866828292406,0.005442866828292406,0.006295176475685107,17.699
10548,0.0029830851148242568,0.0029830851148242568,0.0062616621945875,17.697
10549,0.006110906867884091,0.006110906867884091,0.006265113473071614,17.701
10550,0.005319003070301856,0.005319003070301856,0.006211581448987688,17.701
10551,0.005511292154760262,0.005511292154760262,0.006174204382951515,17.702
10552,0.003927246311600364,0.003927246311600364,0.006125770900467363,17.701
10553,0.001674795884838494,0.001674795884838494,0.006091282197462397,17.699
10554,0.004143730267791053,0.004143730267791053,0.006068936487638646,17.702
10555,0.003691561882905792,0.003691561882905792,0.006061350243503262,17.702
10556,0.0024381102604603784,0.0024381102604603784,0.006046880037288713,17.701
10557,0.0040122278939065045,0.0040122278939065045,0.006032680482307864,17.703
10558,0.008947754217961533,0.008947754217961533,0.006071950899900613,17.709
10559,0.010641314396550867,0.010641314396550867,0.006145745922929098,17.712
10560,-0.0037774543621347054,0.0037774543621347054,0.006157103349110813,17.697
10561,-0.0005386234629104585,0.0005386234629104585,0.006138276550339684,17.7
10562,0.0005310766917986372,0.0005310766917986372,0.00610852801395867,17.701
10563,0.0023319560021006717,0.0023319560021006717,0.006106549488483342,17.703
10564,0.0012302952952635406,0.0012302952952635406,0.0061051537423305255,17.702
10565,-0.0006591498516160886,0.0006591498516160886,0.006104728786237657,17.7
10566,-0.0005900613649764983,0.0005900613649764983,0.006096443913153345,17.7
10567,-0.0023338034227486926,0.0023338034227486926,0.006100890732681583,17.698
10568,-0.001247234899729644,0.001247234899729644,0.0060891260644977616,17.699
10569,-0.001202509158624852,0.001202509158624852,0.006046362618646282,17.699
10570,-0.0029484953727542213,0.0029484953727542213,0.006017422424187827,17.697
10571,-0.0027216564669030143,0.0027216564669030143,0.005962610385356583,17.697
10572,-0.0016342975701136692,0.0016342975701136692,0.005945016129622399,17.698
10573,-0.0033166028043976207,0.0033166028043976207,0.005932648377049154,17.696
10574,-0.0030046047023456505,0.0030046047023456505,0.005909214468036228,17.696
10575,-0.0018175904055750072,0.0018175904055750072,0.005911981250089607,17.697
10576,0.0010248273373713495,0.0010248273373713495,0.005875025398117879,17.7
10577,1.913909973344052e-05,1.913909973344052e-05,0.005847908873728795,17.699
10578,-0.0026009783454172463,0.0026009783454172463,0.0058172910427143,17.696
10579,-0.0039907524673519325,0.0039907524673519325,0.005795072374553183,17.694
10580,-0.0025389248590909014,0.0025389248590909014,0.005793140605424855,17.695
10581,-0.002136987176675694,0.002136987176675694,0.005786603923343244,17.695
10582,-0.001786364282769808,0.001786364282769808,0.005787677870600561,17.695
10583,0.0002754512070808762,0.0002754512070808762,0.005787500629942774,17.697
10584,0.0002958987863724391,0.0002958987863724391,0.005782215299517994,17.697
10585,0.0020516934566894604,0.0020516934566894604,0.0057760052826484375,17.699
10586,0.001794872760711976,0.001794872760711976,0.005778446703104964,17.699
10587,-0.0011123759453823688,0.0011123759453823688,0.005778871060074563,17.696
10588,0.0007278555595512054,0.0007278555595512054,0.00577616533914326,17.698
10589,-0.0012081508416820893,0.0012081508416820893,0.005770793804072043,17.696
10590,0.000615860268468462,0.000615860268468462,0.005747609525250986,17.698
10591,0.002217099941043568,0.002217099941043568,0.005725681566378006,17.7
10592,0.0027472153754197334,0.0027472153754197334,0.005712521759850607,17.701
10593,0.001461898409572896,0.001461898409572896,0.005714176089589863,17.7
10594,-0.001409396459016353,0.001409396459016353,0.0057124198011400795,17.697
10595,0.0022866087331627856,0.0022866087331627856,0.005714993717398334,17.701
10596,0.002032255190391283,0.002032255190391283,0.005718183688716038,17.701
10597,0.001839958942903546,0.001839958942903546,0.0057211423117716625,17.701
10598,0.00435051885049851,0.00435051885049851,0.005735451007128891,17.704
10599,0.00481070420953324,0.00481070420953324,0.005755361251594566,17.705
10600,-7.330175110061617e-05,7.330175110061617e-05,0.005741032316000073,17.7
10601,-0.0008217685791872976,0.0008217685791872976,0.005716866489151615,17.699
10602,0.00028638627112118374,0.00028638627112118374,0.005704894387295333,17.7
10603,-0.0014058064415987843,0.0014058064415987843,0.005698161611217015,17.698
10604,-0.001150581339855393,0.001150581339855393,0.0056936927266051365,17.698
10605,-0.0009605572364704178,0.0009605572364704178,0.005687168286167692,17.698
10606,-0.0008340760870834986,0.0008340760870834986,0.00568768364269065,17.698
10607,-0.0025331108643386188,0.0025331108643386188,0.005693180513827296,17.696
10608,-0.004066179669507691,0.004066179669507691,0.005707280811030748,17.694
10609,-0.0036801313432739896,0.0036801313432739896,0.005713891924519263,17.694
10610,-0.004251947919715193,0.004251947919715193,0.005728056773814409,17.693
10611,-0.003004703003363245,0.003004703003363245,0.005735702960172773,17.694
10612,-0.0001481791367594406,0.0001481791367594406,0.00573562450877598,17.697
10613,0.0005988250742088026,0.0005988250742088026,0.0057242413920468955,17.698
10614,-0.0013782791852623528,0.0013782791852623528,0.005724545627081233,17.696
10615,-0.00043244321997314443,0.00043244321997314443,0.005721957977156936,17.697
