sample,ch2_hpf_mV
895,-0.254414
896,-0.21319
897,-0.092236
898,0.060428
899,0.203908
900,0.266968
901,0.212522
902,0.08321
903,-0.056786
904,-0.188357
905,-0.249871
906,-0.2159
907,-0.093825
908,0.056449
909,0.203092
910,0.263356
911,0.210308
912,0.078348
913,-0.072199
914,-0.204516
915,-0.256791
916,-0.214302
917,-0.10104
918,0.052547
919,0.209906
920,0.284998
921,0.216383
922,0.072886
923,-0.077602
924,-0.203666
925,-0.258244
926,-0.206991
927,-0.073122
928,0.074857
929,0.209984
930,0.255358
931,0.202341
932,0.07809
933,-0.07327
934,-0.211462
935,-0.270968
936,-0.213739
937,-0.068717
938,0.080664
939,0.208284
940,0.252079
941,0.19751
942,0.07448
943,-0.067433
944,-0.201476
945,-0.263986
946,-0.21961
947,-0.085781
948,0.083415
949,0.214882
950,0.259464
951,0.204988
952,0.070696
953,-0.074318
954,-0.200984
955,-0.257465
956,-0.217857
957,-0.090413
958,0.06638
959,0.215678
960,0.265538
961,0.203482
962,0.073757
963,-0.069969
964,-0.20919
965,-0.259238
966,-0.206229
967,-0.077394
968,0.073769
969,0.208441
970,0.25522
971,0.196486
972,0.079329
973,-0.058121
974,-0.197012
975,-0.255635
976,-0.209901
977,-0.085323
978,0.058614
979,0.196599
980,0.255074
981,0.225361
982,0.094469
983,-0.067346
984,-0.200984
985,-0.255505
986,-0.221689
987,-0.086098
988,0.087292
989,0.222342
990,0.25313
991,0.182405
992,0.066404
993,-0.037998
994,-0.167079
995,-0.246488
996,-0.208585
997,-0.085002
998,0.061713
999,0.204052
1000,0.257246
1001,0.198316
1002,0.07278
1003,-0.062624
1004,-0.192887
1005,-0.254452
1006,-0.209936
1007,-0.082238
1008,0.065151
1009,0.206492
1010,0.262424
1011,0.21254
1012,0.090372
1013,-0.063435
1014,-0.19905
1015,-0.259703
1016,-0.213748
1017,-0.089223
1018,0.058743
1019,0.202408
1020,0.258295
1021,0.20828
1022,0.084028
1023,-0.062511
1024,-0.19908
1025,-0.255789
1026,-0.209697
1027,-0.088984
1028,0.0632
1029,0.212445
1030,0.264299
1031,0.202915
1032,0.080086
1033,-0.064489
1034,-0.208172
1035,-0.265764
1036,-0.216881
1037,-0.080738
1038,0.073171
1039,0.20756
1040,0.248867
1041,0.201726
1042,0.089184
1043,-0.067305
1044,-0.214399
1045,-0.258829
1046,-0.20938
1047,-0.075704
1048,0.07656
1049,0.211671
1050,0.260491
1051,0.202139
1052,0.077064
1053,-0.065905
1054,-0.199967
1055,-0.252655
1056,-0.209402
1057,-0.086212
1058,0.062571
1059,0.206909
1060,0.265696
1061,0.211121
1062,0.076019
1063,-0.074905
1064,-0.209887
1065,-0.260161
1066,-0.205449
1067,0.208122
1068,0.25802
1069,0.207696
1070,0.078316
1071,-0.072359
1072,-0.206834
1073,-0.259085
1074,-0.217
1075,-0.086174
1076,0.082486
1077,0.227262
1078,0.259406
1079,0.198679
1080,0.07622
1081,-0.06852
1082,-0.203939
1083,-0.259423
1084,-0.207664
1085,-0.075601
1086,0.07743
1087,0.210387
1088,0.255258
1089,0.20374
1090,0.080207
1091,-0.072173
1092,-0.209395
1093,-0.257577
1094,-0.208533
1095,-0.078332
1096,0.075517
1097,0.213431
1098,0.256729
1099,0.201669
1100,0.074691
1101,-0.073796
1102,-0.212555
1103,-0.263887
1104,-0.212327
1105,-0.086743
1106,0.069621
1107,0.230525
1108,0.27479
1109,0.204267
1110,0.067737
1111,-0.07991
1112,-0.208892
1113,-0.256407
1114,-0.210306
1115,-0.08119
1116,0.074231
1117,0.213095
1118,0.258555
1119,0.206298
1120,0.072646
1121,-0.076525
1122,-0.204573
1123,-0.247153
1124,-0.201663
1125,-0.07799
1126,0.070391
1127,0.210179
1128,0.258761
1129,0.198317
1130,0.066537
1131,-0.081696
1132,-0.216255
1133,-0.269668
1134,-0.213988
1135,-0.072682
1136,0.081703
1137,0.220834
1138,0.265796
1139,0.204381
1140,0.063467
1141,-0.087703
1142,-0.203227
1143,-0.237125
1144,-0.198298
1145,-0.075109
1146,0.074884
1147,0.21183
1148,0.249494
1149,0.188164
1150,0.058922
1151,-0.079616
1152,-0.209156
1153,-0.25631
1154,-0.193688
1155,-0.06935
1156,0.069688
1157,0.205641
1158,0.255057
1159,0.206096
1160,0.075155
1161,-0.069967
1162,-0.20475
1163,-0.258456
1164,-0.204971
1165,-0.073237
1166,0.073978
1167,0.210741
1168,0.255848
1169,0.196757
1170,0.070458
1171,-0.070934
1172,-0.20681
1173,-0.255877
1174,-0.204369
1175,-0.076349
1176,0.079522
1177,0.213923
1178,0.244154
1179,0.189794
1180,0.080263
1181,-0.060063
1182,-0.204097
1183,-0.255572
1184,-0.212982
1185,-0.08573
1186,0.079037
1187,0.231422
1188,0.271933
1189,0.204616
1190,0.068958
1191,-0.08489
1192,-0.228107
1193,-0.27086
1194,-0.195651
1195,-0.058124
1196,0.088035
1197,0.222359
1198,0.264075
1199,0.203908
1200,0.071965
1201,-0.075878
1202,-0.211106
1203,-0.266322
1204,-0.221842
1205,-0.085452
1206,0.079163
1207,0.228179
1208,0.282617
1209,0.221359
1210,0.068947
1211,-0.088127
1212,-0.22274
1213,-0.266013
1214,-0.204804
1215,-0.06686
1216,0.084511
1217,0.218774
1218,0.263421
1219,0.200503
1220,0.074778
1221,-0.079317
1222,-0.220963
1223,-0.265516
1224,-0.208768
1225,-0.074658
1226,0.087943
1227,0.228165
1228,0.260973
1229,0.194935
1230,0.061413
1231,-0.081717
1232,-0.217944
1233,-0.273957
1234,-0.223103
1235,-0.088035
1236,0.06709
1237,0.199626
1238,0.234901
1239,0.171621
1240,0.040745
1241,-0.110164
1242,-0.229861
1243,-0.272184
1244,-0.196614
1245,-0.042313
1246,0.099805
1247,0.241947
1248,0.289067
1249,0.220038
1250,0.08207
1251,-0.066746
1252,-0.196374
1253,-0.240774
1254,-0.192588
1255,-0.068182
1256,0.076557
1257,0.218258
1258,0.26662
1259,0.203541
1260,0.054227
1261,-0.10746
1262,-0.234193
1263,-0.246675
1264,-0.170445
1265,-0.045281
1266,0.095531
1267,0.223105
1268,0.260522
1269,0.198591
1270,0.064411
1271,-0.084489
1272,-0.226134
1273,-0.272626
1274,-0.205612
1275,-0.057669
1276,0.093604
1277,0.226983
1278,0.26804
1279,0.198143
1280,0.05952
1281,-0.08713
1282,-0.21764
